Symbol,Quantity,Price,Transaction,Variety,Product,Order_Type,Rank
TECHM,17,1439.4,BUY,regular,CNC,LIMIT,1
HCLTECH,17,1397.1,BUY,regular,CNC,LIMIT,2
TCS,10,2449.8,BUY,regular,CNC,LIMIT,3
TRENT,7,3541.6,BUY,regular,CNC,LIMIT,4
HDFCBANK,33,743.35,BUY,regular,CNC,LIMIT,5
WIPRO,128,193.86,BUY,regular,CNC,LIMIT,6
HINDALCO,27,916.25,BUY,regular,CNC,LIMIT,7
NESTLEIND,20,1193.9,BUY,regular,CNC,LIMIT,8
INFY,19,1288.6,BUY,regular,CNC,LIMIT,9
MARUTI,1,12610,BUY,regular,CNC,LIMIT,10
