Stock,Symbol,Sector,Strategy Bucket,Suggested Allocation (%),Max Investment (₹),CMP,Calculated Investment (₹),Final Investment (₹),Quantity,Status
PAYTM,PAYTM,Fintech,Growth Leaders,2,100000,1028.45,100000,99759.65,97,OK
PNCINFRA,PNCINFRA,Infra,Tactical/Cyclical,1,50000,171.73,50000,49973.43,291,OK
POWERMECH,POWERMECH,Infra,Tactical/Cyclical,1,50000,1948,50000,48700,25,OK
SBIN,SBIN,Banking,High Quality Compounders,4,200000,1030.4,200000,199897.6,194,OK
SOLARINDS,SOLARINDS,Defence,Growth Leaders,2,100000,13406,100000,93842,7,OK
SUZLON,SUZLON,Energy,Tactical/Cyclical,1,50000,41.55,50000,49984.65,1203,OK
TECHM,TECHM,IT,Tactical/Cyclical,2,100000,1473.4,100000,98717.8,67,OK
TRENT,TRENT,Retail,Growth Leaders,2,100000,3823,100000,99398,26,OK
WIPRO,WIPRO,IT,Tactical/Cyclical,2,100000,204.72,100000,99903.36,488,OK
ZENTEC,ZENTEC,Industrial,Tactical/Cyclical,1,50000,1424.3,50000,49850.5,35,OK
